,name,artist,meaning,lyrics
256,location,khalid,love,Send me your location  let sFocus on communicating Cause I just need the time and place to come through Send me your locationLet s ride the vibrationsI don t need nothing else but youAt times I wonder why I fool with youBut this is new to me  this is new to youInitially  I didn t wanna fall for youGather my attention it was all for you  so don tTake advantage  don t leave my heart damagedI understand that things go a little bit better when you plan it    oh  so won tSend me your location  let sFocus on communicating Cause I just need the time and place to come throughSend me your locationLet s ride the vibrationsI don t need nothing else but you
257,saved,khalid,love,2  3  4The hard part always seems to last foreverSometimes I forget that we aren t togetherDeep down in my heart  I hope you re doing alrightBut from time to time I often think of why you aren t mineBut I ll keep your number saved Cause I hope one day you ll get the sense to call meI m hoping that you ll sayYou re missing me the way I m missing youSo I ll keep your number saved Cause I hope one day I ll get the pride to call youTo tell you that no one elseIs gonna hold you down the way that I doNow  I can t say I ll be alright without youAnd I can t say that I haven t tried toBut  all your stuff is goneI erased all the pictures from my phoneOf me and youHere s what I ll do
258,redbone,childish gambino,love,DaylightI wake up feeling like you won t play rightI used to know  but now that shit don t feel rightIt made me put away my prideSo longYou made a nigga wait for some  so longYou make it hard for boy like that to go onI m wishing I could make this mine  ohIf you want it  yeahYou can have it  oh  oh  ohIf you need it  oohWe can make it  ohIf you want itYou can have itBut stay wokeNiggas creepin They gon  find youGon  catch you sleepin   oohNow stay wokeNiggas creepin Now don t you close your eyes
259,ride slow,russ,love,Ride slowYeah  yeahYeah  yeahI m pullin  up at 3This car just ain t the same without you here next to meAll I wanna do is ride slow Ride slow Ride slow  like a ghostRide slow Ride slow Ride slow  like a ghostI m pullin  up at 3This car just ain t the same without you here next to meAll I wanna do is ride slow Ride slow Ride slow  like a ghostWe been goin  back and forth  you think I only want sexOf course I want it  look at you but that ain t my intentionsI ve been tryna soak you up  maybe learn somethingI said I would never chase but you keep on runningYou know all of my ex s  you think I still do tooI just had to change my number but I ll never lose youI just got back into town  I m just tryna unwindLet me ride around your mind
260,selfish,pnb rock,love,Oh oh oh oh  ohOh oh oh  oh oh oh  oh yeahI want you all to myselfYou don t need nobody elseI want you all to myself  I swear yeahOh yeah  yeah  yeah  yeahI m selfish  I want you all to myself  I swearYou don t need nobody else  I swearI want you all to myself  because I m selfish  yeahI want you all to myself  I swearYou don t need nobody else  I swearI want you all to myself  I swear  I m selfishI want you all to myself  I swearYou don t need nobody else  I swearI want you all to myself  because I m selfish yeahI want you all to myself  I swearYou don t need nobody elseI want you all to myselfNow  that I gotcha here   girlI ain t gon  play with youBecause there s a lot of thingsThat I wanna say to youGirl  you know  you the shitBalenciagas on ya kicksNiggas all on your dickBut we ain t gon  trip Cause I m not ready for no commitments  nah  nahBut I swear I hate seeing you wit  them  yeah  yeahAnd I know  you ain t tryna control meAnd I know  you re tired of being lonelyI can t help how I feelI m just keeping it realThey can t have you  girl  because
261,you should be here,kehlani,love,I m looking right at you  but you re not thereI m seeing right past you  but you seem well awareYour body is here but your mind is somewhere elseSo far gone and you think I can t tellCan t tell that you are disconnectedYou pulled away and I miss your presenceI always said to youBaby you should be here  right hereBaby you should be here  right hereDon t know where you went but you re lost nowDon t know where you went but you re gone nowDon t know where you went but you re lost nowDon t know where you went but you re gone nowHead on your chest babe  but your heart is so quietWe use to talk all night long  now we laying in silenceYour arms around me but your soul is somewhere elseGone so long and I know you so wellI know that you are everything that I ever dreamed ofAnd hoped that love had a happy endingBaby you should be here  right hereBaby you should be here  right hereDon t know where you went but you re lost nowDon t know where you went but you re gone nowDon t know where you went but you re lost nowDon t know where you went but you re gone nowYou should be here  right here yeah
262,clumsy,fergie,love,She can t help it  the girl can t help it She can t help it  the girl can t help it She can t help it  the girl can t help it She can t help itFirst time that I saw your eyesBoy  you looked right through me  mmm  mmmPlayed it cool  but I knew you knewThat cupid hit me  mmm  mmmYou got me trippin    stumblin    flippin    fumblin Clumsy  cause I m fallin  in love You got me slippin    tumblin    sinkin    crumblin Clumsy  cause I m fallin  in love So in love with youShe can t help it  the girl can t help it She can t help it  the girl can t help it She can t help it  the girl can t help it She can t help itCan t breathe  when you touch my sleeveButterflies so crazy  mmm  mmmWhoa now  think I m goin  downFriends don t know what s with me  mmm  mmm
263,a thousand years,christina perri,love,Heart beats fastColors and promisesHow to be brave How can I love when I m afraid to fall But watching you stand aloneAll of my doubt suddenly goes away somehowOne step closerI have died every day waiting for youDarling  don t be afraidI have loved you for a thousand yearsI ll love you for a thousand moreTime stands stillBeauty in all she isI will be braveI will not let anythingTake awayWhat s standing in front of meEvery breathEvery hour has come to this
264,kiss me,ed sheeran,love,One  two  three  fourSettle down with meCover me up  cuddle me inLie down with meAnd hold me in your armsAnd your heart s against my chestYour lips pressed to my neckI m falling for your eyesBut they don t know me yetAnd with a feeling I ll forget  I m in love nowKiss me like you wanna be lovedYou wanna be lovedYou wanna be lovedThis feels like falling in loveWe re falling in loveWe re falling in loveSettle down with meAnd I ll be your safetyYou ll be my ladyI was made to keep your body warmBut I m cold as the wind blowsSo hold me in your armsOh no
265,stay with me,sam smith,love,Guess it s true  I m not good at a one night standBut I still need love  cause I m just a manThese nights never seem to go to planI don t want you to leave  will you hold my hand Oh  won t you stay with me  Cause you re all I needThis ain t love  it s clear to seeBut darling  stay with meWhy am I so emotional No  it s not a good look  gain some self controlAnd deep down I know this never worksBut you can lay with me so it doesn t hurtOh  won t you stay with me  Cause you re all I needThis ain t love  it s clear to seeBut darling  stay with meOooh  ooohOooh  oooh
266,love you down,inoj,love,It never really mattered too much to meThat you were just too damned old for meAll that really mattered was you were my boyfriendAnd baby  that s all that mattered to meLet me love you down  even if it takes all nightLet me love you down  you know it s got to be so rightRemember when I drove you home from workI love the way you and me kiss goodbye  Mmm   All of your friends think I m just too young for youSo tell  em I can do what girls their age can do  Oh babe   Let me love you down  even if it takes all nightLet me love you down  you know it s got to be so rightLet me love you down  even if it takes all nightLet me love you down  you know it s got to be so right  Oh   It never really mattered too much to meThat they were just too damned blind to seeAs long as I can love you down baby just be my manThat s all that mattered to me
267,all i want,inoj,love,I don t want no ball and chain to hang on meAnd I don t need no tiesDon t want your wedding ringI m looking for a guy who s fly  ain t catching feelingsSee I already got a friendI ain t looking for your new beginningsAll I want is your loveCan you give it to me  All I want is your loveCan you give it to me  See baby if you got a jobIt s cool  don t want your money But if I need a little cashI ll ask but it won t hurt you honey So if you think you re the guy to love me rightBaby  you listening  Cause I m looking for some lovingA little rubbingAnd some good old kissing 
268,right thru me,nicki minaj,love,You see right through meHow do you do that shit How do you do that shit How do you do that shit How do you How do you How do you How do you How do you You let me win  you let me rideYou let me rock  you let me slideAnd when they lookin   you let me hideDefend my honor  protect my prideThe good advice I always hatedBut lookin  back  it made me greaterYou always told me forget the hatersJust get my money  just get my weight upKnow when I m lyin   know when I m cryin It s like you got it down to a scienceWhy am I tryin   Know you ain t buyin I tried to fight it back with defianceYou make me laugh  you make me hoarseFrom yellin  at you and gettin  at youPickin  up dishes  throwin   em at youWhy are you speakin  when no one asked you 
269,your love,nicki minaj,love,Shorty  I ma only tell you this once  you the illestAnd for your loving  I ma die hard like Bruce WillisYou got spark  you  you got spunkYou  you got something all the girls wantYou re like a candy store  and I m a toddler You got me wanting more and m m more ofYour love  your love Your love  your love Your love  your love Your love  your love Your love  your loveYour love  your loveYour love  your love Your love  your love He the type to pop tags and be cockin  the brimMight breeze through The Ave  might stop at the gymAnd he keep a do rag  keep the wave on swimW w waves on swim so they hate on himAnyway  I think I met him sometime beforeIn a different life or where I recordI mean he was Adam  I think I was EveBut my vision ends with the apple on the tree S  on my chest  cause I m ready to save himReady to get buck on anybody that plays himAnd I think I love him  I love him just like I raised himWhen he call me  mama  lil  mama   I call him  baby 
270,dreaming of you,selena,love,Late at night when all the world is sleepingI stay up and think of youAnd I wish on a star that somewhere you areThinking of me too Cause I m dreaming of you tonight Til tomorrow  I ll be holding you tightAnd there s nowhere in the world I d rather beThan here in my roomDreaming about you and meWonder if you ever see me And I wonder if you know I m there If you looked in my eyesWould you see what s inside Would you even care I just wanna hold you closeBut so far  all I have are dreams of youSo I wait for the day And the courage to say how much I love youYes  I doI ll be dreaming of you tonight Til tomorrow I ll be holding you tightAnd there s nowhere in the world I d rather beThan here in my roomDreaming about you and me
271,i could fall in love,selena,love,I could lose my heart tonightIf you don t turn and walk away Cause the way I feel  I mightLose control and let you stay Cause I could take you in my armsAnd never let goI could fall in love with youI could fall in love with you I can only wonder howTouching you would make me feelBut if I take that chance right nowTomorrow will you want me still  So I should keep this to myselfAnd never let you knowI could fall in love with you I could fall in love with you And I know it s not rightAnd I guess I should tryTo do what I should doBut I could fall in loveFall in love with you I could fall in love with you
272,amor prohibido,selena,love,Con unas ansias locas quiero verte hoyEspero ese momento en que escuche tu vozY cuando al fin estemos juntos los dosQué importa qué dirán  tu padre y tu mamáAquí sólo importa nuestro amor  te quieroAmor prohibido  murmuran por las callesPorque somos de distintas sociedadesAmor prohibido  nos dice todo el mundoEl dinero no importa en ti y en míNi en el corazónOh  babyAunque soy pobre  todo esto que te doyVale más que el dinero porque sí es amorY cuando al fin estemos juntos  los dosQué importa qué dirán  también la sociedadAquí sólo importa nuestro amor  te quieroAmor prohibido  murmuran por las callesPorque somos de distintas sociedadesAmor prohibido  nos dice todo el mundoEl dinero no importa en ti y en míNi en el corazónOh  baby
273,soulja girl,soulja boy,love,   Soulja Boy Tell em Right now it s goin down Lookin for that Soulja Girl Ay  ay  ay  ayDamn  watch me do itDamn  watch me do itYeah  ay Ay     ay    She gotta step like this to be a Soulja GirlShe gotta step like that to be a Soulja GirlGirl let me see you Tell me you She gotta walk it out  to be a Soulja GirlYou know what I m talkin  bout  hey Soulja GirlGirl let me see you Tell me you You got to walk it out  to be my Soulja Girl Life keeps tickin  I m the one pickin  yeah I done told ya girl Hit the mall with me  come ball with me from Monday to Sunday I know we on but everybody fall in love someday Soulja Boy tell  em got the girls goin wildFrom the corner of my eye I saw her smileYou wanna be my girl you gotta wipe me downDressed so fresh make the girls say wow Lovin me  my Soulja Girl Huggin me  my Soulja Girl 
274,i like the way you love me,brenton wood,love,Oh   oh   oh   oh   yeahDon t know whyBut I love  I do  yeah  yeah Cause I like the way you love meOh  girl  oh  ohEvery time your kissin  meThrills me from my head to feetAnd I tell myself that deep down insideThere will be no one else for me Cause I like the way you love meLove me  love meOh  girl  oh  ohAnd I like the way you thrill me  oh  girl  mmm  hmmWell  you thrill me to my soulAnd I like  I like it all soAnd I tell myself that deep down insideI could never let you go Cause I like the way you love meLove me  thrill me  chill me  love me  oh  babyOh  girl  oh  ohAnd I like the way you love me  oh  girl  oh  ohI love  your my loveYou are mine
275,la-la means i love you,the delfonics,love,Many guys have come to youWith a line that wasn t trueAnd you passed them by Though you re in the center ringAnd their lines don t mean a thingWhy don t you let me try Now I don t wear a diamond ringI don t even know a song to singAll I know isLa la la la la la la la la meansI love youOh  baby please nowLa la la la la la la la la meansI love youIf I ever saw a girlThat I needed in this worldYou are the one for me  Let me hold you in my armsGirl  and thrill you with my charmsI m sure you will see  The things I am sayin  are trueAnd the way I explain them to youListen to me
276,love will keep us alive,eagles,love,I was standingAll alone against the world outsideYou were searchingFor a place to hideLost and lonelyNow you ve given me the will to surviveWhen we re hungry  love will keep us aliveDon t you worrySometimes you ve just got to let it rideThe world is changingRight before your eyesNow I ve found youThere s no more emptiness insideWhen we re hungry  love will keep us aliveI would die for youClimb the highest mountainBaby  there s nothing I wouldn t doNow I ve found youThere s no more emptiness insideWhen we re hungry  love will keep us alive
277,thank you for loving me,bon jovi,love,It s hard for me to say the thingsI want to say sometimesThere s no one here but you and meAnd that broken old street lightLock the doorsWe ll leave the world outsideAll I ve got to give to youAre these five words tonightThank you for loving meFor being my eyesWhen I couldn t seeFor parting my lipsWhen I couldn t breatheThank you for loving me I never knew I had a dreamUntil that dream was youWhen I look into your eyesThe sky s a different blueCross my heartI wear no disguiseIf I tried  you d make believeThat you believed my lies
278,i live my life for you,firehouse,love,You know you re everything to meAnd I could never see  the two of us apartAnd you know I give myself to youAnd no matter what you do  I promise you my heartI ve built my world around you and I want you to knowI need you  like I ve never needed anyone beforeI live my life for youI want to be by your side in everything that you doAnd if there s only one thing you can believe is trueI live my life for youI dedicated my life to youYou know that I would die for youBut our love would last foreverAnd I will always be with youAnd there is nothing we can t doAs long as we re togetherI just can t live without you  and I want you to knowI need you like I ve never needed anyone beforeI live my life for youI want to be by your side in everything that you doAnd if there s only one thing you can believe is trueI live my life for you
279,when love and hate collide,def leppard,love,You could have a change of heart  if you would only change your mindInstead of slamming down the phone girl  for the hundredth timeI got your number on my wall  but I ain t gonna make that callWhen divided we stand baby  united we fallGot the time got a chance gonna make itGot my hands on your heart gonna take itAll I know I can t fight this flameYou could have a change of heart  if you would only change your mindCause I m crazy  bout you baby  time after timeWithout youOne night aloneIs like a year without you babyDo you have a heart of stoneWithout youCan t stop the hurt insideWhen love and hate collideI don t wanna fight no more  I don t know what we re fighting forWhen we treat each other baby  like an act of warI could tell a million lies and it would come as no surpriseWhen the truth is like a stranger  hits you right between the eyes
280,glory of love,peter cetera,love,Tonight it s very clear Cause we re both lying hereThere s so many things I wanna sayI will always love youI would never leave you aloneSometimes I just forgetSay things I might regretIt breaks my heart to see you cryingI don t wanna lose youI could never make it aloneI am a man who will fight for your honorI ll be the hero you re dreaming ofWe ll live foreverKnowing togetherThat we did it all for the glory of loveYou keep me standing tallYou help me through it allI m always strong when you re beside meI have always needed youI could never make it alone
281,when i see you smile,bad english,love,Sometimes I wonderHow I d ever make it throughThrough this world without having youI just wouldn t have a clue Cause sometimes it seemsLike this world is closing in on meAnd there s no way of breaking freeAnd then I see you reach for meSometimes I want to give up  wanna give inI wanna quit the fightAnd then I see you  babyAnd everything s alrightEverything s alrightWhen I see you smile  I can face the worldOh  you know I can do anythingWhen I see you smile  see a ray of lightOh  see it shining right through the rainWhen I see you smileBaby  when I see you smile at me  oh yeahBaby  there s nothingIn this world that could ever doWhat the touch of your hand can doIt s like nothing that I ever knew  hey
282,more than words,extreme,love,Saying  I love you Is not the words I want to hear from youIt s not that I want youNot to say  but if you only knewHow easy it would be to show me how you feelMore than words is all you have to do to make it realThen you wouldn t have to say that you love me Cause I d already knowWhat would you do if my heart was torn in two More than words to show you feelThat your love for me is realWhat would you say if I took those words away Then you couldn t make things newJust by saying   I love you Da de da la de daLa de dei dei deiMore than wordsDa de da la de daNow that I ve tried to talk to you and make you understandAll you have to do is close your eyesAnd just reach out your hands and touch meHold me close  don t ever let me goMore than words is all I ever needed you to showThen you wouldn t have to say that you love me Cause I d already know
283,straight from the heart,bryan adams,love,I could start dreamin  but it never endsAs long as you re gone we may as well pretendI ve been dreamin Straight from the heartYou say it s easy but who s to sayThat we d be able to keep it this wayBut it s easierComin  straight from the heartOh  give it to me straight from the heartTell me we can make another startYou know I ll never go   as long as I knowIt s comin  straight from the heartI see you on the street some other timeAnd all my words would just fall out of lineWhile we re dreamin Straight from the heartOh  give it to me straight from the heartTell me we can make one more startYou know I ll never go   as long as I knowIt s comin  straight from the heart
284,vulnerable,roxette,love,Everywhere I look I see her smileHer absent minded eyesAnd she has kept me wondering for so longHow this thing could go wrongIt seems to me that we are both the samePlaying the same gameBut as darkness falls this true love falls apartInto a riddle of her heartShe s so vulnerable  like china in my handsShe s so vulnerable  and I don t understandI could never hurt the one I loveShe s all I ve gotBut she s so vulnerableOh so vulnerableDays like these no one should be aloneNo heart should hide awayHer touch is gently conquering my mindThere s nothing words can sayShe s colored all the secrets of my soulI ve whispered all my dreamsBut just as nighttime falls this vision falls apartInto a riddle of her heart  yeah
285,when i look into your eyes,firehouse,love,I see forever when I look in your eyesYou re all I ever wantedI always want you to be mineLet s make a promise till the end of timeWe ll always be togetherAnd our love will never dieSo here we are face to faceAnd heart to heartI want you to know we willNever be apartNow I believe that wishes can come true Cause I see my whole worldI see only youWhen I look into your eyesI can see how much I love youAnd it makes me realizeWhen I look into your eyesI see all my dreams come trueWhen I look into your eyesI ve looked for you all of my lifeNow that I ve found youWe will never say goodbyeI can t stop this feelingAnd there s nothing I can do Cause I see everything when I look at you
286,open arms,journey,love,Lying beside youHere in the darkFeeling your heartbeat with mineSoftly you whisperYou re so sincereHow could our love be so blind We sailed on togetherWe drifted apartAnd here you areBy my sideSo now I come to youWith open armsNothing to hideBelieve what I saySo here I amWith open armsHoping you ll seeWhat your love means to meOpen armsLiving without youLiving aloneThis empty house seems so coldWanting to hold youWanting you nearHow much I wanted you home
287,sometimes when we touch,rod stewart,love,You ask me if I love youAnd I choke on my replyI d rather hurt you honestlyThan mislead you with a lieAnd who am I to judge youOn what you say or doI m only just beginningTo see the real youAnd sometimes when we touchThe honesty s too muchAnd I have to close my eyes and hideI wanna hold you  til I die Til we both break down and cryI wanna hold you  til the fear in me subsidesRomance and all its strategiesLeaves me battling with my prideBut for all the insecuritySome tenderness survivesI m just another writerStill trapped within my truthA hesitant prize fighterStill trapped within my youth
288,please forgive me,bryan adams,love,Still feels like our first night togetherFeels like the first kiss and it s gettin  better babyNo one can better thisStill holdin  on  you re still the oneFirst time our eyes met   the same feeling I getOnly feels much stronger   I wanna love you longerYou still turn the fire onSo if you re feelin  lonely  don tYou re the only one I ever wantI only wanna make it goodSo if I love you a little more than I shouldPlease forgive me   I know not what I doPlease forgive me   I can t stop loving youDon t deny me   this pain I m going throughPlease forgive me   if I need ya like I doPlease believe me   every word I say is truePlease forgive me   I can t stop loving youStill feels like our best times are togetherFeels like the first touchWe re still gettin  closer babyCan t get close enoughI m still holdin  on   you re still number oneI remember the smell of your skinI remember everythingI remember all your moves   I remember you yeahI remember the night   you know I still do
289,never say goodbye,bon jovi,love,As I sit in this smoky roomThe night about to endI pass my time with strangersBut this bottle s my only friendRememberin  when we used to parkOn Butler Street out in the darkRemember when we lost the keysAnd you lost more than that in my backseat  babyRemember how we used to talkAbout bustin  out  we d break their heartsTogether foreverNever say goodbye  never say goodbyeYou and me and my old friendsHopin  it would never endSay goodbye  never say goodbyeHoldin  on  we ve gotta tryHoldin  on to never say goodbyeRemember days of skippin  schoolRacin  cars and bein  coolWith a six pack and the radioWe didn t need no place to goRemember at the prom that nightYou and me  we had a fightBut the band  they played our favorite songAnd I held you in my arms so strong
290,love of a lifetime,firehouse,love,I guess the time was right for us to sayWe d take our time and live our livesTogether day by dayWe ll make a wish and send it on a prayerWe know our dreams can all come trueWith love that we can shareWith you I never wonderWill you be there for me With you I never wonderYou re the right one for meI finally found the love of a lifetimeA love to last my whole life throughI finally found the love of a lifetimeForever in my heartI finally found the love of a lifetimeWith every kiss  our love is like brand newAnd every star up in the skyWas made for me and youStill  we both know that the road is longWe know that we will be togetherBecause our love is strong
291,the search is over,survivor,love,How can I convince you  what you see is realWho am I to blame you for doubting what you feelI was always reachin   you were just a girl I knewI took for granted the friend I have in youI was living for a dream  loving for a momentTaking on the world  that was just my styleNow I look into your eyes  I can see foreverThe search is over  you were with me all the whileCan we last forever  do we fall apartAt times it s so confusing  the questions of the heartYou followed me through changes and patiently you d waitTill I came to my senses through some miracle of fateI was living for a dream  loving for a momentTaking on the world  that was just my styleNow I look into your eyes  I can see foreverThe search is over  you were with me all the whileNow the miles stretch out behind meLoves that I have lostBroken hearts lie victims of the gameThen good luck it finally struckLike lightnin  from the blueEvery highway is leadin  me back to you
292,in my dreams,reo speedwagon,love,There was a time some time agoWhen every sunrise meant a sunny day  oh a sunny dayBut now when the morning light shines inIt only disturbs the dreamland where I lay  oh where I layI used to thank the lord when I d wakeFor life and love and the golden sky above meBut now I pray the stars will go on shinin You see in my dreams you love meDaybreak is a joyful timeJust listen to the songbird harmonies  oh the harmoniesBut I wish the dawn would never comeI wish there was silence in the trees  oh the treesIf only I could stay asleep  at least I could pretend you re thinkin  of me Cause night time is the one time I am happyYou see in my dreamsWe climb and climb and at the top we flyLet the world go on below us  we are lost in timeAnd I don t know really what it meansAll I know is that you love me  in my dreamsI keep hopin  one day I ll awaken  and somehow she ll be lying by my sideAnd if I wonder if the dawn is really breakin She touches me and suddenly I m alive
293,babe,styx,love,Babe  I m leavingI must be on my wayThe time is drawing nearMy train is goingI see it in your eyesThe love  the need  your tearsBut I ll be lonely without youAnd I ll need your love to see me throughSo please believe meMy heart is in your handsAnd I ll be missing you Cause you know it s you  BabeWhenever I get wearyAnd I ve had enoughFeel like giving upYou know it s you  BabeGiving me the courageAnd the strength I needPlease believe that it s trueBabe  I love you
294,secret,heart,love,We lead two different livesJust like two lines that never crossAnd here we are togetherStanding closer than we areBut we re still standing here untouchedToo scared to make a moveWe want so much to touchAnd we can t wait foreverWe know it s dangerousFor us to be togetherHow do we ever keep this secretHow do we keep it in the darkAnd if we dare to taste our weaknessHow could we tear ourselves apartWhy do we keep this love togetherDidn t we know right from the startThat we would have to keep this secretOr forever stay apartI watch you coming to meWalking in the pouring rainI can t help looking at youWishing I could stay awaySo many times I ve tried in vainTo close my eyes and pray it goes awayBut I can t stop myself from feelingTo let you go would be too muchFor me to take
295,bed of roses,bon jovi,love,Sitting here wasted and wounded at this old pianoTrying hard to capture the moment this morning I don t know Cause a bottle of Vodka is still lodged in my headAnd some blonde gave me nightmaresI think that she s still in my bedAs I dream about movies they won t make of me when I m deadWith an ironclad fist  I wake up and French kiss the morningWhile some marching band keeps its own beat in my head while we re talkingAbout all of the things that I long to believeAbout love and the truth and what you mean to meAnd the truth is baby you re all that I needI want to lay you down in a bed of rosesFor tonight I sleep on a bed of nailsOh I wanna be just as close asThe Holy Ghost isAnd lay you downOn a bed of rosesWell I m so far away  that each step that I take is on my way homeA king s ransom in dimes I d given each night just to see through this payphoneStill I run out of time or it s hard to get throughTill the bird on the wire flies me back to youI ll just close my eyes and whisperBaby  blind love is true
296,here for you,firehouse,love,So you think  you ve got it all figured outWell  you know you can t make it aloneEverbody need somebody to help them outAnd you know I could be that someoneAnd if you ever get lost on life s highwayDon t know where to goThere s just one thing that I want you to knowI am here for you  always here for youWhen you need a shoulder to cry onSomeone to rely on  I am here for youSo you think that love is long overdueTired of looking for someone to careLet me tell you   Now the choice is up to you But you know I will always be thereI am here for you  always here for youWhen you re needin  someone to hold youRemember I told you   I am here for you  I am here for you So now  you ve got it all figured outAnd you know you ve found someone that caresAnd if you ever need somebody to help you outWell  you know I will always be thereAnd if you ever get lost on life s highwayDon t know where to goThere s just one thing that I want you to know
297,when you love a woman,journey,love,In my life I see where I ve beenI said that I d never fall againWithin myself I was wrongMy searching ain t over   overI know thatWhen you love a womanYou see your world inside her eyesWhen you love a womanYou know she s standing by your sideA joy that lasts foreverThere s a band of gold that shines waiting somewhere   oh yeahIf I can t believe that someone is trueTo fall in love is so hard to doI hope and pray tonightSomewhere you re thinking of me girlYes I know   I know thatWhen you love a womanYou see your world inside her eyesWhen you love a womanYou know she s standing by your sideA joy that lasts foreverThere s a band of gold that shines waiting somewhere   oh
298,amanda,boston,love,Babe  tomorrow s so far awayThere s something I just have to sayI don t think I can hide what I m feelin  insideAnother day  knowin  I love youAnd I  I m getting too close againI don t want to see it endIf I tell you tonight will you turn out the lightAnd walk away knowing I love you I m going to take you by surprise and make you realizeAmandaI m going to tell you right away  I can t wait another dayAmandaI m going to say it like a man and make you understandAmandaI love youAnd I feel like today s the dayI m lookin  for the words to sayDo you wanna be free  are you ready for meTo feel this wayI don t wanna lose youSo  it may be too soon  I knowThe feeling takes so long to growIf I tell you today will you turn me awayAnd let me go I don t want to lose youI m going to take you by surprise and make you realizeAmandaI m going to tell you right away  I can t wait another dayAmandaI m going to say it like a man and make you understandAmandaI love youAnd I feel like today s the dayI m lookin  for the words to sayDo you wanna be free  are you ready for meTo feel this wayI don t wanna lose youSo  it may be too soon  I knowThe feeling takes so long to growIf I tell you today will you turn me awayAnd let me go I don t want to lose you
299,alone,heart,love,I hear the ticking of the clockI m lying here the room s pitch darkI wonder where you are tonightNo answer on the telephoneAnd the night goes by so very slowOh  I hope that it won t end thoughAlone Till now I always got by on my ownI never really cared until I met youAnd now it chills me to the boneHow do I get you alone How do I get you alone You don t know how long I have wantedTo touch your lips and hold you tight  ohYou don t know how long I have waitedAnd I was gonna tell you tonightBut the secret is still my ownAnd my love for you is still unknownAlone Till now I always got by on my ownI never really cared until I met youAnd now it chills me to the boneHow do I get you alone How do I get you alone 
300,always,bon jovi,love,This Romeo is bleedingBut you can t see his bloodIt s nothing but some feelingsThat this old dog kicked upIt s been raining since you left meNow I m drowning in the floodYou see I ve always been a fighterBut without you I give upI can t sing a love songLike the way it s meant to beWell  I guess I m not that good anymoreBut baby  that s just meAnd I will love you  baby  alwaysAnd I ll be there forever and a day  alwaysI ll be there till the stars don t shineTill the heavens burst andThe words don t rhymeAnd I know when I die  you ll be on my mindAnd I ll love you  alwaysNow your pictures that you left behindAre just memories of a different lifeSome that made us laugh  some that made us cryOne that made you have to say goodbyeWhat I d give to run my fingers through your hairTo touch your lips  to hold you nearWhen you say your prayers try to understandI ve made mistakes  I m just a manWhen he holds you close  when he pulls you nearWhen he says the words you ve been needing to hearI ll wish I was him  cause those words are mineTo say to you  till the end of time
301,on a day like today,winger,love,Crazy  wake upOutside the signs are pointing eastAnd she s drifting awayShe takes her heartbreak to goShe knows I ll understandNo change of planHer love was already goneBefore we came undoneShe runs like rivers and rainI looked away on a day like today   Easy  distanceShe plays it cool inside she s hopingLove will be thereAfraid this road never endsShe pretends to like to this wayI can t make her stayHer love was already goneBefore we came undoneShe runs like rivers and rainI ll never be the sameHer love was already goneI looked away on a day like today   
302,naughty naughty,danger danger,love,Come a little closer  baby  it s all rightMaybe we can start a little fire tonightPull the shades  lock the doorDon t waste my time  girl  you d better be sure Cause I know what I wantAnd I know how to get itSo  baby  if you re ready to playLet s get naughty  naughtyDown and dirtyNaughty  naughtyOh  I like it that wayThat dress you re wearing makes you look so cuteBut  girl  you d look better in your birthday suitTake my hand  feel my loveTonight s the night we re gonna shake it up  shake it up Cause I know what you wantAnd you re gonna get itBaby  if you re ready to play
303,falling,harry styles,love,I m in my bedAnd you re not hereAnd there s no one to blame but the drink in my wandering handsForget what I saidIt s not what I meantAnd I can t take it back  I can t unpack the baggage you leftWhat am I now  What am I now What if I m someone I don t want around I m falling again  I m falling again  I m fallin What if I m down  What if I m out What if I m someone you won t talk about I m falling again  I m falling again  I m fallin You said you cared  and you missed me tooAnd I m well aware I write too many songs about youAnd the coffee s out at the Beachwood CafeAnd it kills me  cause I know we ve run out of things we can sayWhat am I now  What am I now What if I m someone I don t want around I m falling again  I m falling again  I m fallin What if I m down  What if I m out What if I m someone you won t talk about I m falling again  I m falling again  I m fallin 
304,butterflies,james tw,love,I see flowers through the windowDon t know why they remind me of you Cause your colour was yellowAnd that s the song that we played when we movedSaid goodbye back in MayThought by now I d be safeThen it hits me  right out the blueEvery face that I see  a reminder to meWhat I lost when I lost youBaby  I ve ghosted your numberI ve slept on the other sideBut no matter what I doI still get these butterfliesI ve hidden all the picturesI ve tried staying out all nightBut no matter what I doI still get these butterfliesI get drunk  I feel lonelyTry to drown all the noise in my mindHmm  hmmBut alcohol doesn t hold meThe way you did  the way you wouldWhen you were mine
305,ghost,justin bieber,love,Youngblood thinks there s always tomorrowI miss your touch some nights when I m hollowI know you crossed a bridge that I can t followSince the love that you left is all that I get  I want you to knowThat if I can t be close to you  I ll settle for the ghost of youI miss you more than life And if you can t be next to me  your memory is ecstasyI miss you more than life  I miss you more than lifeYoungblood thinks there s always tomorrowI need more time  but time can t be borrowedI d leave it all behind if I could followSince the love that you left is all that I get  I want you to knowThat if I can t be close to you  I ll settle for the ghost of youI miss you more than life And if you can t be next to me  your memory is ecstasy I miss you more than life  I miss you more than lifeWoah oh oh ohNa na naMore than life
